,sex,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,schoolsup_encoded,famsup_encoded,paid_encoded,activities_encoded,nursery_encoded,higher_encoded,internet_encoded,romantic_encoded,school_MS,address_U,famsize_LE3,Pstatus_T,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,G3_prediction
0,1,18,4,4,2,2,0,4,3,4,1,1,3,4,0,11,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,17,1,1,1,2,0,5,3,3,1,1,3,2,9,11,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,15,1,1,1,2,0,4,3,2,2,3,3,6,12,13,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
3,1,15,4,2,1,3,0,3,2,2,1,1,5,0,14,14,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
4,1,16,3,3,1,2,0,4,3,2,1,2,5,0,11,13,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
5,0,16,4,3,1,2,0,5,4,2,1,2,5,6,12,12,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1
6,0,16,2,2,1,2,0,4,4,4,1,1,3,0,13,12,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
7,1,17,4,4,2,2,0,4,1,4,1,1,1,2,10,13,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
8,0,15,3,2,1,2,0,4,2,2,1,1,1,0,15,16,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
9,0,15,3,4,1,2,0,5,5,1,1,1,5,0,12,12,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
10,1,15,4,4,1,2,0,3,3,3,1,2,2,2,14,14,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1
